Latitude,Longitude,distance_to_nearest_substation_m,distance_to_nearest_powerline_m,altitude
39.64,19.13,27061.65612449987,84715.80926766682,-1116.504272460938
39.64,19.15,25351.62454270102,83044.11622863406,-1080.44873046875
39.64,19.17,23642.52852867667,81374.21733858902,-1093.694702148438
39.64,19.19,21934.58404338765,79706.2245862586,-1141.080932617188
39.64,19.21,20228.079846685752,78040.25940942626,-1161.663940429688
39.64,19.23,18523.41085163065,76376.4536953769,-1170.95654296875
39.64,19.25,16821.131573844654,74714.95090884744,-1167.429321289062
39.64,19.27,15122.04528580386,73003.61645273227,-1169.0
39.64,19.29,13427.359956579949,71287.67571407421,-1176.383666992188
39.64,19.31,11738.97701663512,69571.76661422492,-1187.327392578125
39.64,19.33,10060.064694827228,67855.8907095787,-1195.754638671875
39.64,19.35,8396.299642128311,66140.04972871063,-1203.0
39.64,19.37,6758.869161319276,64424.245595296605,-1203.276000976562
39.64,19.39,5172.831908569101,62708.48045479328,-1132.08642578125
39.64,19.41,3704.777490455316,60992.75670561986,-1190.530517578125
39.64,19.43,2565.8854974893957,59277.07703575245,-1033.672973632812
39.64,19.45,2309.3862642666295,57561.444465856104,-908.1649780273438
39.64,19.47,3158.1269499145887,55845.862400364174,-709.220458984375
39.64,19.49,4528.263743492565,54130.33468826534,-413.7617797851562
39.64,19.51,6076.790915763438,52414.865695815875,-531.1460571289062
39.64,19.53,7696.773088718669,50699.460394007285,-349.9883117675781
39.64,19.55,9351.142316427393,48984.12446439326,-310.9297790527344
39.64,19.57,11024.424467325704,47268.86442794456,-279.769775390625
39.64,19.59,12709.14793018886,45553.68780298396,-249.6097717285156
39.64,19.61,14401.29478060708,43838.60330016591,-223.6373291015625
39.64,19.63,16098.521575038636,42123.62106503763,-206.4195556640625
39.64,19.65,17799.372755462977,40408.75298230287,-191.33544921875
39.64,19.67,19502.897894359987,38694.01306089589,-189.610107421875
39.64,19.69,21208.450670699855,36979.41792606118,-160.4030914306641
39.64,19.71,22915.57654099799,35264.98745478616,-27.94036674499512
39.64,19.73,24623.946673053513,33550.7456057672,0.0
39.64,19.75,26333.317381927172,31836.72151708128,55.72850799560547
39.64,19.77,28043.504295939107,30122.950977939392,280.3741149902344
39.64,19.79,29754.36537724005,28409.4784320858,68.16216278076172
39.64,19.81,31465.789452046065,26696.35975101778,43.31874465942383
39.64,19.83,33177.688274106105,24983.666145358544,60.46959686279297
39.64,19.85,34889.990914909504,23271.48979861428,0.0
39.64,19.87,36602.63972262551,21559.95217687135,25.72377777099609
39.64,19.89,38315.587361211146,19849.21662198021,0.0
39.64,19.91,40028.794607456635,18139.508040572317,0.0
39.64,19.93,41742.22868904299,16431.144823913968,0.0
39.64,19.95,43455.8620147991,14724.592855060131,-36.18188858032227
39.64,19.97,45169.67119332827,13020.56167642208,-62.09532165527344
39.64,19.99,46883.63626642925,11320.186719102172,-61.10400009155273
39.64,20.01,48597.740104422024,9625.104976928576,-111.0703964233398
39.64,20.03,50311.967924861936,7931.817250114987,-135.144287109375
39.64,20.05,52026.306906246326,6238.473168563379,-68.53633880615234
39.64,20.07,53740.745875544635,4545.072694291569,-42.27935409545898
39.64,20.09,55455.27505360913,2851.6157892977867,-23.17848777770996
39.64,20.11,57169.88584633712,1158.1024155578634,-17.13121604919434
39.64,20.13,58884.57067227253,535.467464973762,0.0
39.64,20.15,60599.32281944436,2229.093890363242,54.40492248535156
